NUMBER	IDINSTEDT	CORRECTED	CONCEPTINSTEDT
1	01.009,12.	1.009	all
2	I.9	1.009	all
3	01.009,12d	1.009	all (for things)
4		1.048	hand
5	66	02a.47	armpit
6	66	02a.51	arm
7	66	02a.53	palm of hand
8	0 2b1.59	02b1.59	get up
9	93	03a.014	wing
10	Hale 73 CSD	03a.060	jackal
11	06a.0406a.	06a.040	place
12	158	06b2.25	tickle
13	XIIC1	12c.01	far
14	XIIC	12c.46	out of
15	XIIC	12c.47	in / inside of
16	XIIC	12c.48	up
17	XIIC	12c.48	up (straight up)
18	XIIC	12c.48	up (up country)
19	XIIC	12c.49	down
20	XIIC	12c.50	over
21	XIIC	12c.50	over (above)
22	XIIC	12c.51	under
23	XIIC	12c.51	under (below)
24	XIIC	12c.51	under (beneath)
25	XIIC	12c.52	through
26	XIIC	12c.53	toward
27	XIIC	12c.54	away from
28	XIIC	12c.54	hither and thither
29	XIIC	12c.55	behind
30	XIIC	12c.55	behind (not visible)
31	XIIC	12c.55	behind (visible)
32	XIIC56	12c.56	in front of
33	XIIC	12c.57	beside
34	XIIC	12c.58	between
35	XIIC	12c.59	above
36	XIIC	12c.59	above (directly)
37	XIIC	12c.60	beneath
38	XIIC	12c.61	around
39	XIIC	12c.62	beyond
40	XIIC	12c.63	across
41	XIIC	12c.64	where
42	XIIC64	12c.64	where
43	XIIC	12c.64	where (w. at)
44	XIIC	12c.64	where (w. to)
45	XIID	12d.07	more
46	XIID7	12d.07	more
47	XIID	12d.08	less
48	XIID	12d.09	most
49	XIID	12d.10	least
50	XIID	12d.11	mixed
51	XIID	12d.12	unmixed
52	XIID	12d.12	unmixed / pure
53	XIID	12d.12	unmixed / without condiment
54	XIID	12d.13	real
55	XIID14	12d.14	false
56	XIID	12d.15	whole
57	XIID	12d.16	all
58	XIID	12d.17	partial
59	XIID	12d.18	early
60	XIID	12d.19	late
61	XIID	12d.20	frequent
62	XIID	12d.21	infrequent
63	XIID	12d.22	old
64	XIID	12d.22	old (of clothing)
65	XIID	12d.22	old (of objects)
66	XIID	12d.23	new
67	XIID	12d.23	new one; one which is new
68	XIID	12d.24	frequently
69	XIID	12d.25	frequently / sometimes
70	XIID	12d.25	never
71	XIID	12d.26	daily
72	XIID	12d.27	when
73	XIID	12d.28	before
74	XIID	12d.29	after
75	XIID	12d.29	after / at last
76	XIID	12d.30	during
77	XIID	12d.30	during / in the midle
78	XIID	12d.31	until
79	XIID31	12d.31	until
80	XIID	12d.31	until / as long as
81	XIIIA1	13a.01	can / be able to do something
82	XIIIA2	13a.02	know (fact / person)
83	XIIIA2	13a.02	know (sthg)
84	XIIIA3	13a.03	BENEFACTIVE
85	XIIIA4	13a.04	let (smn do sthg) / permit
86	XIIIA4	13a.04	let (smn do sthg)
87	XIIIA5	13a.05	cause (smn to do sthg)
0	09.01	9.01	three
1	09.02	9.02	four
2	09.03	9.03	five
3	09.04	9.04	six
4	09.05	9.05	seven
5	09.06	9.06	eight
6	09.07	9.07	nine
7	09.08	9.08	ten
8	09.09	9.09	thirteen
9	09.10	9.10	nineteen
10	09.11	9.11	twenty
11	09.12	9.12	twenty-two
12	09.13	9.13	twenty-nine
13	09.14	9.14	thirty-one
14	09.15	9.15	thirty-nine
15	09.16	9.16	forty
16	09.17	9.17	fifty
17	09.18	9.18	sixty
18	09.30	9.30	first
19	09.34	9.34	last
20	09.35	9.35	half
21	09.36	9.36	half way
22	09.41	9.41	pair
23	09.45	9.45	every
24	09.48	9.48	something
25	09.49	9.49	nothing
26	09.50	9.50	someone
27	09.51	9.51	no one
28	09.52	9.52	another
29	09.54	9.54	some
30	09.55	9.55	too much
31	XIIC64	12c.64	where
32	XIID31	12d.31	until
33	01.001	1.001	I
34	01.002	1.002	thou
35	01.003	1.003	we (du)
36	01.004	1.004	this
37	01.005	1.005	that
38	01.006	1.006	who
39	01.007	1.007	what
40	01.008	1.008	not
41	01.009	1.009	all
42	01.010	1.010	many
43	01.011	1.011	one
44	01.012	1.012	two
45	01.013	1.013	big
46	01.014	1.014	long
47	01.015	1.015	small
48	01.016	1.016	woman
49	01.017	1.017	man
50	01.018	1.018	person
51	01.019	1.019	fish
52	01.020	1.020	bird
53	01.021	1.021	dog
54	01.022	1.022	louse
55	01.023	1.023	tree
56	01.024	1.024	seed
57	01.025	1.025	leaf
58	01.026	1.026	root
59	01.027	1.027	bark (of tree)
60	01.054	1.054	drink
61	01.055	1.055	eat
62	01.057	1.057	see
63	01.058	1.058	hear
64	01.059	1.059	know
65	01.060	1.060	sleep
66	01.061	1.061	die
67	01.062	1.062	kill
68	01.063	1.063	swim
69	01.067	1.067	lie
70	01.068	1.068	sit
71	01.069	1.069	stand
72	01.071	1.071	say
73	01.072	1.072	sun
74	01.073	1.073	moon
75	01.074	1.074	star
76	01.075	1.075	water
77	01.076	1.076	rain
78	01.077	1.077	stone
79	01.079	1.079	earth
80	01.080	1.080	cloud
81	01.081	1.081	smoke
82	01.082	1.082	fire
83	01.083	1.083	ash
84	01.084	1.084	burn
85	01.085	1.085	path
86	01.086	1.086	mountain
87	01.087	1.087	red
88	01.088	1.088	green
89	01.089	1.089	yellow
90	01.090	1.090	white
91	01.091	1.091	black
92	01.092	1.092	night
93	01.093	1.093	hot
94	01.094	1.094	cold
95	01.095	1.095	full
96	01.097	1.097	good
97	01.098	1.098	round
98	01.099	1.099	dry
99	01.100	1.100	name
100	09.19	9.19	seventy
101	09.20	9.20	eighty
102	09.21	9.21	ninety
103	09.22	9.22	ninety-eight
104	09.23	9.23	ninety-nine
105	09.24	9.24	hundred
106	09.25	9.25	hundred and two
107	09.26	9.26	hundred and thirty
108	09.27	9.27	hundred and ninety
109	09.28	9.28	hundred, two
110	09.29	9.29	thousand, one
111	09.31	9.31	second
112	09.32	9.32	third
113	09.33	9.33	eighth
114	09.37	9.37	third, one-
115	09.38	9.38	quarter, one-
116	09.39	9.39	thirds, two-
117	09.40	9.40	quarters, three-
118	09.42	9.42	none
119	09.43	9.43	neither
120	09.44	9.44	both
121	09.46	9.46	total
122	09.47	9.47	together
123	01.056	1.056	bite
124	01.064	1.064	fly
125	01.065	1.065	walk
126	01.066	1.066	come
127	01.070	1.070	give
128	01.078	1.078	sand
129	01.009,12.	1.009	all
130	01.096	1.096	new
131	06a.0406a.	06a.04	place
132	I.9	1.009	all
133	01.009;12d	1.009	all (for things)
1	09.10	9.1	nineteen
2	09.30	9.3	first
3	09.50	9.5	someone
4	01.009	1.009	all
5	09.20	9.2	eighty
6	09.40	9.4	quarters, three-
7	01.009,12.	1.009	all
8	I.9	1.009	all
9	01.009,12d	1.009	all
10	01.009;12d	1.009	all
